open_uuid,open_test_uuid,time_utc,cat_technology,network_type,lat,long,loc_src,loc_accuracy,zip_code,gkz,country_location,download_kbit,upload_kbit,ping_ms,lte_rsrp,lte_rsrq,server_name,test_duration,num_threads,platform,model,client_version,network_mcc_mnc,network_name,sim_mcc_mnc,nat_type,asn,ip_anonym,ndt_download_kbit,ndt_upload_kbit,implausible,signal_strength
P4f799e04-df22-4d2c-8542-a6fe541d66ec,Oc17c6c1a-4492-4c23-baf9-21b3f5c549cc,2017-05-23 09:13:00,3G,HSPA+,47.49339683,11.70729947,gps,3.0,6215,70901,AT,13798,3484,47.4,,,RTR Server 10G AT,7,3,Android,E2303,2.2.21,232-10,3 AT,232-10,nat_local_to_public_ipv4,25255,178.115.130,,,false,-81
P6c3b94d5-fb4d-4ef4-82e0-9ab26f6a4f04,Od88d59c3-6088-4b7e-9788-fc0d44bf5181,2017-05-23 09:13:06,LAN,LAN,,,,,,,,33969,11511,17.3,,,RTR Websocket 10G AT,7,3,,Chrome,0.5,,,,,25255,77.119.131,,,false,
P2c3157cf-9948-452d-a7a9-28349f914721,O2de19407-3bf4-4d2b-9bae-f28f52714a7a,2017-05-23 09:13:16,4G,LTE,48.92919933427957,15.24056710304249,,5.0,3851,32210,AT,36910,9626,28.9,,,RTR Server 10G AT,7,3,iOS,iPhone 6,1.7,,,232-03,nat_local_to_public_ipv4,8412,213.162.68,,,false,
P71134992-e147-48b0-8f57-ce5a216e7c84,O0915fa52-0d97-4c18-8099-cf78debaf0fe,2017-05-23 09:13:17,WLAN,WLAN,,,,,,,,14463,10278,100.0,,,RTR Server 10G AT,7,3,Android,GT-I9060I,3.0.2,,,,nat_local_to_public_ipv4,48832,46.32.122,,,false,-20
Pb2b0b512-ec92-43b4-a462-4cbbd3790c67,Oaf3369ac-3d19-496e-9912-26c8ab258345,2017-05-23 09:13:22,4G,LTE,48.40294667,16.05920676,gps,11.0,3464,31208,AT,16712,236,40.0,-123,-14,RTR Server 10G AT,7,3,Android,Galaxy Note (2014),3.0.2,232-05,3 AT,232-10,nat_local_to_public_ipv4,25255,178.165.128,,,false,
P9dd1fc86-ac1d-4023-a54e-6d8469f26d0b,Of974556e-cf7a-4e7c-afc9-69c4a7673c7f,2017-05-23 09:13:26,WLAN,WLAN,48.1649012,14.3897126,network,27.0,4492,41008,AT,50804,34498,10.5,,,RTR Server 10G AT,7,3,Android,A 8+,3.0.2,,,,nat_local_to_public_ipv4,28889,85.193.135,,,false,-44
Pc1e73e72-97d5-42f0-aa31-630563a3566b,O2d80ace1-92d7-4928-9c0d-e420fbb3d531,2017-05-23 09:13:27,LAN,LAN,48.196939699999994,16.3421952,Browser,20.0,1070,90701,AT,11665,8492,95.7,,,RTR Websocket 10G AT,7,3,,Chrome,0.5,,,,,25255,91.141.3,,,false,
P32ebbc89-283c-4713-a4f4-e02fba55560e,Od09b89a3-9c0e-4711-a21c-5390bad4e5cc,2017-05-23 09:13:31,WLAN,WLAN,48.21484661321507,16.37336463492739,,65.0,1010,90101,AT,7629,7152,14.6,,,RTR Server 10G AT,7,3,iOS,iPad 3 US,1.7,,,,nat_local_to_public_ipv4,6830,62.178.217,,,false,
P3d75986a-3bbd-458f-8544-f6ec8c8b4565,O970e87b6-5202-4417-91e2-e81d98658cd0,2017-05-23 09:13:47,4G,LTE,,,,,,,,7931,318,20.9,,,RTR Server 10G AT,7,3,iOS,iPhone SE,1.7,,,232-01,nat_public_to_public_ipv4,12793,213.225.37,,,false,
P15c2438c-3bea-4135-a0ea-fd23ffdb8c8e,O56b071ff-a5d5-4941-9376-217e9d763eb9,2017-05-23 09:13:50,4G,LTE,-6.555633333333333,106.81109,gps,2.2,,,ID,3241,1118,240.0,-94,-12,RTR Server 10G AT,7,3,Android,Redmi Note 3,3.0.2,510-10,TELKOMSEL,510-10,nat_local_to_public_ipv4,23693,114.124.181,,,false,
Pb23ee735-3883-4e11-a251-c7672fe9f048,Oe7070a53-1b58-427e-9b6d-9cacfe9de98a,2017-05-23 09:13:58,4G,LTE,,,,,,,,28654,6475,30.4,,,RTR Server 10G AT,7,3,iOS,iPhone 6s,1.7,,,232-01,nat_public_to_public_ipv4,12793,213.225.10,,,false,
Pffa5e89a-5849-4f8d-baec-74c31368371f,O1b5bf132-80b5-4c5b-8ef6-2f124313d41f,2017-05-23 09:14:02,WLAN,WLAN,48.1364037,11.5036241,network,34.6,,,DE,41256,761,23.5,,,RTR Server DE,7,3,Android,Sony Xperia V,2.2.9,,,,nat_local_to_public_ipv4,25291,176.74.57,,,false,-32
